"annee";"code_postal_acheteur";"amm";"substance";"cas";"quantite_substance";"classification";"classification_mention";"achat_etranger"
2022;"21390";"9900446";"fludioxonil";"131341-86-1";"0.385";"Env A";"";"Non"
2022;"21160";"2190198";"soufre pour pulverisation (micronise)";"7704-34-9";"488";"Autre";"";"Non"
2022;"21160";"2190214";"aclonifen";"74070-46-5";"78.75";"CMR";"";"Non"
2022;"21160";"2190214";"diflufenicanil";"83164-33-4";"10.5";"Env B";"";"Non"
2022;"21160";"2190214";"flufenacet";"142459-58-3";"13.125";"Env A";"";"Non"
2022;"21160";"2190883";"prothioconazole";"178928-70-6";"2.5";"Env A";"";"Non"
2022;"21160";"2200066";"fenpicoxamide";"517875-34-2";"1.5";"Env A";"";"Non"
2022;"21160";"2200215";"clethodime";"99129-21-2";"1.2";"Env B";"";"Non"
2022;"21160";"2210128";"phosphonate de potassium";"13492-26-7";"37.75";"Autre";"";"Non"
2022;"21160";"2210138";"metazachlore";"67129-08-2";"24";"CMR";"";"Non"
2022;"21160";"2210138";"quinmerac";"90717-03-6";"6";"Env A";"";"Non"
2022;"21160";"2210251";"cyazofamide";"120116-88-3";"0.3132";"Env A";"";"Non"
2022;"21160";"2210251";"folpel";"133-07-3";"3.132";"CMR";"";"Non"
2022;"21160";"2210614";"clomazone";"81777-89-1";"0.36";"Env A";"";"Non"
2022;"21160";"2210858";"diflufenicanil";"83164-33-4";"16";"Env B";"";"Non"
2022;"21160";"2210858";"flufenacet";"142459-58-3";"32";"Env A";"";"Non"
2022;"21160";"2220146";"prosulfocarbe";"52888-80-9";"88";"Env A";"";"Non"
2022;"21160";"2220321";"fludioxonil";"131341-86-1";"0.4";"Env A";"";"Non"
2022;"21160";"2220766";"cyantraniliprole";"736994-63-1";"0.96";"Env A";"";"Non"
2022;"21160";"5100219";"soufre sublime";"7704-34-9";"1608.75";"Autre";"";"Non"
2022;"21160";"7200313";"alcools terpeniques";"98-55-5";"33.25";"Autre";"";"Non"
2022;"21160";"7700216";"soufre pour pulverisation (micronise)";"7704-34-9";"49.9785";"Autre";"";"Non"
2022;"21160";"8400255";"metsulfuron-methyl";"74223-64-6";"0.12";"Env A";"Substitution";"Non"
2022;"21160";"8600243";"aclonifen";"74070-46-5";"12";"CMR";"";"Non"
2022;"21160";"8700002";"chlorotoluron";"15545-48-9";"85";"CMR";"";"Non"
2022;"21160";"8700462";"prosulfocarbe";"52888-80-9";"560";"Env A";"";"Non"
2022;"21160";"8800161";"triallate";"2303-17-5";"9.6";"Env A";"";"Non"
2022;"21160";"8800395";"lambda-cyhalothrine";"91465-08-6";"0.6";"Santé A";"Substitution";"Non"
2022;"21160";"8800395";"pyrimicarbe";"23103-98-2";"12";"CMR";"";"Non"
2022;"21160";"8800603";"napropamide";"15299-99-7";"15.75";"Env A";"";"Non"
2022;"21160";"8900564";"tau-fluvalinate";"102851-06-9";"2.64";"Env A";"";"Non"
2022;"21160";"9000184";"2,4-mcpa";"94-74-6";"47";"Env A";"";"Non"
2022;"21160";"9000184";"clopyralid";"1702-17-6";"4.7";"Autre";"";"Non"
2022;"21160";"9000184";"fluroxypyr-meptyl";"81406-37-3";"13.536";"Env A";"";"Non"
2022;"21160";"9000222";"soufre";"7704-34-9";"3234.644";"Autre";"";"Non"
2022;"21160";"9000259";"amidosulfuron";"120923-37-7";"0.54";"Env A";"";"Non"
2022;"21160";"9000833";"metazachlore";"67129-08-2";"6";"CMR";"";"Non"
2022;"21160";"9000833";"quinmerac";"90717-03-6";"1.5";"Env A";"";"Non"
2022;"21160";"9100296";"2,4-d";"94-75-7";"6";"Env B";"";"Non"
2022;"21160";"9100645";"clodinafop-propargyl";"105512-06-9";"1";"Env A";"";"Non"
2022;"21160";"9100645";"cloquintocet-mexyl";"99607-70-2";"0.25";"Autre";"";"Non"
2022;"21160";"9200359";"cuivre du sulfate de cuivre";"8011-63-0";"25";"Env A";"Substitution";"Non"
2022;"21160";"9300143";"folpel";"133-07-3";"6.24";"CMR";"";"Non"
2022;"21160";"9400052";"clethodime";"99129-21-2";"7.2";"Env B";"";"Non"
2022;"21160";"9400485";"cymoxanil";"57966-95-7";"0.3756";"CMR";"";"Non"
2022;"21160";"9400485";"folpel";"133-07-3";"3.13626";"CMR";"";"Non"
2022;"21160";"9400535";"2,4-mcpa";"94-74-6";"8";"Env A";"";"Non"
2022;"21160";"9400535";"clopyralid (sous forme de sel de monoethanolamine)";"57754-85-5";"0.8";"Autre";"";"Non"
2022;"21160";"9400535";"fluroxypyr";"69377-81-7";"1.6";"Env B";"";"Non"
2022;"21160";"9600093";"azoxystrobine";"131860-33-8";"1.25";"Santé A";"";"Non"
2022;"21160";"9600229";"fenpropidine";"67306-00-7";"11.25";"Env A";"";"Non"
2022;"21160";"9700070";"flazasulfuron";"104040-78-0";"0.045";"Env A";"";"Non"
2022;"21160";"9700076";"thiodicarbe";"59669-26-0";"3.2";"Autre";"";"Non"
2022;"21160";"9700401";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"4.739";"Santé A";"Substitution";"Non"
2022;"21160";"9800182";"s-metolachlore";"87392-12-9";"38.4";"Env A";"";"Non"
2022;"21160";"9800244";"fenhexamid";"126833-17-8";"1.58";"Env A";"";"Non"
2022;"21160";"9800245";"soufre pour pulverisation (micronise)";"7704-34-9";"3048.74392";"Autre";"";"Non"
2022;"21160";"9800262";"flazasulfuron";"104040-78-0";"0.05";"Env A";"";"Non"
2022;"21160";"9800304";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"9.18";"Santé A";"Substitution";"Non"
2022;"21160";"9800336";"lambda-cyhalothrine";"91465-08-6";"2.6";"Santé A";"Substitution";"Non"
2022;"21160";"9800344";"fludioxonil";"131341-86-1";"0.00775";"Env A";"";"Non"
2022;"21160";"9800344";"metalaxyl-m";"70630-17-0";"0.003007";"Autre";"";"Non"
2022;"21160";"9800420";"spiroxamine";"118134-30-8";"6";"CMR";"";"Non"
2022;"21160";"9800474";"cuivre du sulfate de cuivre";"8011-63-0";"199.774";"Env A";"Substitution";"Non"
2022;"21160";"9800481";"fleur de chaux (chaux eteinte)";"1305-62-0";"0.65";"Autre";"";"Non"
2022;"21160";"9900227";"cuivre de l'hydroxyde de cuivre";"20427-59-2";"213.188";"Santé A";"Substitution";"Non"
2022;"21160";"9900446";"cymoxanil";"57966-95-7";"0.82";"CMR";"";"Non"
2022;"21160";"9900446";"fludioxonil";"131341-86-1";"0.41";"Env A";"";"Non"
2022;"21160";"9900446";"metalaxyl-m";"70630-17-0";"1.39072";"Autre";"";"Non"
2022;"21170";"2000044";"fluazifop-p-butyl";"79241-46-6";"19.5";"CMR";"";"Non"
2022;"21170";"2000122";"metalaxyl-m";"70630-17-0";"0.898880";"Autre";"";"Non"
2022;"21170";"2000125";"cuivre du sulfate de cuivre";"8011-63-0";"0.42";"Env A";"Substitution";"Non"
2022;"21170";"2000201";"silthiofam";"175217-20-6";"0.3";"Env A";"";"Non"
2022;"21170";"2000202";"glyphosate";"1071-83-6";"410.4";"Env A";"";"Non"
2022;"21170";"2000205";"propoxycarbazone sodium";"181274-15-7";"0.84";"Env A";"";"Non"
2022;"21170";"2000299";"clomazone";"81777-89-1";"5.76";"Env A";"";"Non"
2022;"21170";"2000316";"esfenvalerate";"66230-04-4";"28.55";"Santé A";"Substitution";"Non"
2022;"21170";"2000327";"carfentrazone ethyl";"128639-02-1";"0.9";"Env A";"";"Non"
2022;"21170";"2000369";"metsulfuron-methyl";"74223-64-6";"0.2";"Env A";"Substitution";"Non"
2022;"21170";"2010019";"quizalofop-p-ethyl";"100646-51-3";"5";"Env A";"";"Non"
2022;"21170";"2010030";"mepiquat-chlorure";"24307-26-4";"82.5";"Env B";"";"Non"
2022;"21170";"2010030";"prohexadione-calcium";"127277-53-6";"13.75";"Env B";"";"Non"
2022;"21170";"2010239";"florasulame";"145701-23-1";"0.025";"Env A";"";"Non"
2022;"21170";"2010239";"fluroxypyr-meptyl";"81406-37-3";"3.6025";"Env A";"";"Non"
2022;"21170";"2010280";"metconazole";"125116-23-6";"2.7936";"CMR";"";"Non"
2022;"21170";"2010427";"quizalofop-p-ethyl";"100646-51-3";"7.8";"Env A";"";"Non"
2022;"21170";"2010513";"bacillus thuringiensis ssp kurstaki souche abts-351";"68038-71-1";"";"Autre";"";"Non"
2022;"21170";"2020099";"trifloxystrobine";"141517-21-7";"98.0";"Env A";"";"Non"
2022;"21170";"2020474";"metazachlore";"67129-08-2";"20";"CMR";"";"Non"
2022;"21170";"2030071";"metaldehyde";"108-62-3";"26";"CMR";"";"Non"
2022;"21170";"2030175";"bacillus thuringiensis ssp kurstaki souche sa-11";"68038-71-1";"0.034";"Autre";"";"Non"
2022;"21170";"2030323";"fludioxonil";"131341-86-1";"1.93425";"Env A";"";"Non"
2022;"21170";"2030332";"2,4-d";"94-75-7";"1.2";"Env B";"";"Non"
2022;"21170";"2030332";"dichlorprop-p";"15165-67-0";"0.6";"Autre";"";"Non"
2022;"21170";"2030342";"chlormequat chlorure";"999-81-5";"552.0";"Autre";"";"Non"
2022;"21170";"2040146";"tefluthrine";"79538-32-2";"1.10";"Santé A";"";"Non"
2022;"21170";"2050046";"flonicamide";"158062-67-0";"0.25";"Autre";"";"Non"
2022;"21170";"2050075";"boscalid";"188425-85-6";"2.50";"Env A";"";"Non"
2022;"21170";"2060063";"picolinafen";"137641-05-5";"0.75";"Env A";"";"Non"
2022;"21170";"2060088";"benoxacor";"98730-04-2";"2.2";"Autre";"";"Non"
2022;"21170";"2060088";"mesotrione";"104206-82-8";"4.4";"CMR";"";"Non"
2022;"21170";"2060088";"s-metolachlore";"87392-12-9";"44";"Env A";"";"Non"
2022;"21170";"2060098";"spinosad";"168316-95-8";"0.48";"Env A";"";"Non"
2022;"21170";"2060115";"azoxystrobine";"131860-33-8";"4";"Santé A";"";"Non"
2022;"21170";"2060115";"cyproconazole";"94361-06-5";"1.6";"CMR";"Exclusion";"Non"
2022;"21170";"2060116";"prothioconazole";"178928-70-6";"3.75";"Env A";"";"Non"
2022;"21170";"2060118";"fluoxastrobine";"361377-29-9";"0.25";"CMR";"";"Non"
2022;"21170";"2060118";"prothioconazole";"178928-70-6";"0.5";"Env A";"";"Non"
2022;"21170";"2060119";"metsulfuron-methyl";"74223-64-6";"0.06";"Env A";"Substitution";"Non"
2022;"21170";"2060131";"2,4-d";"94-75-7";"1.953";"Env B";"";"Non"
2022;"21170";"2060131";"triclopyr";"55335-06-3";"2.1756";"Env B";"";"Non"
2022;"21170";"2060194";"tefluthrine";"79538-32-2";"30.24";"Santé A";"";"Non"
2022;"21170";"2070184";"chlorotoluron";"15545-48-9";"124";"CMR";"";"Non"
2022;"21170";"2070184";"diflufenicanil";"83164-33-4";"7.75";"Env B";"";"Non"
2022;"21170";"2070221";"metazachlore";"67129-08-2";"48";"CMR";"";"Non"
2022;"21170";"2070221";"quinmerac";"90717-03-6";"12";"Env A";"";"Non"
2022;"21170";"2080025";"butoxyde de piperonyle";"51-03-6";"171";"Autre";"";"Non"
2022;"21170";"2080025";"cypermethrine";"52315-07-8";"60";"Env A";"";"Non"
2022;"21170";"2080026";"nicosulfuron";"111991-09-4";"2.4";"Env A";"";"Non"
2022;"21170";"2080060";"pyriproxyfene";"95737-68-1";"0.8";"Env A";"";"Non"
2022;"21170";"2080105";"glyphosate";"1071-83-6";"16.2";"Env A";"";"Non"
2022;"21170";"2080114";"cymoxanil";"57966-95-7";"2";"CMR";"";"Non"
2022;"21170";"2080114";"propamocarbe hcl";"25606-41-1";"16";"Autre";"";"Non"
2022;"21170";"2080117";"prosulfuron";"94125-34-5";"0.1875";"Env A";"Substitution";"Non"
2022;"21170";"2080125";"metsulfuron-methyl";"74223-64-6";"1";"Env A";"Substitution";"Non"
2022;"21170";"2080136";"pyridate";"55512-33-9";"8.55";"Env A";"";"Non"
2022;"21170";"2080145";"diflufenicanil";"83164-33-4";"185.4";"Env B";"";"Non"
2022;"21170";"2080145";"flufenacet";"142459-58-3";"370.8";"Env A";"";"Non"
2022;"21170";"2080147";"difenoconazole";"119446-68-3";"2.5";"Env A";"";"Non"
2022;"21170";"2080147";"paclobutrazol";"76738-62-0";"1.25";"CMR";"";"Non"
2022;"21170";"2090009";"pendimethaline";"40487-42-1";"99";"Env A";"Substitution";"Non"
2022;"21170";"2090009";"picolinafen";"137641-05-5";"2.25";"Env A";"";"Non"
2022;"21170";"2090011";"pendimethaline";"40487-42-1";"22.75";"Env A";"Substitution";"Non"
2022;"21170";"2090016";"imazamox";"114311-32-9";"0.668";"Env A";"Substitution";"Non"
2022;"21170";"2090016";"pendimethaline";"40487-42-1";"10";"Env A";"Substitution";"Non"
2022;"21170";"2090037";"dicamba";"1918-00-9";"4.5";"Env B";"";"Non"
2022;"21170";"2090037";"prosulfuron";"94125-34-5";"0.45";"Env A";"Substitution";"Non"
2022;"21170";"2090041";"cloquintocet-mexyl";"99607-70-2";"5.700";"Autre";"";"Non"
2022;"21170";"2090041";"pyroxsulame";"422556-08-9";"5.700";"Env A";"";"Non"
2022;"21170";"2090042";"cloquintocet-mexyl";"99607-70-2";"0.48493";"Autre";"";"Non"
2022;"21170";"2090042";"florasulame";"145701-23-1";"0.16188";"Env A";"";"Non"
2022;"21170";"2090042";"pyroxsulame";"422556-08-9";"0.48493";"Env A";"";"Non"
2022;"21170";"2090050";"cypermethrine";"52315-07-8";"10.272";"Env A";"";"Non"
2022;"21170";"2090052";"tribenuron-methyle";"101200-48-0";"0.90";"Env A";"";"Non"
2022;"21170";"2090054";"metsulfuron-methyl";"74223-64-6";"0.91234";"Env A";"Substitution";"Non"
2022;"21170";"2090054";"tribenuron-methyle";"101200-48-0";"0.91234";"Env A";"";"Non"
2022;"21170";"2090064";"imazamox";"114311-32-9";"15.2";"Env A";"Substitution";"Non"
2022;"21170";"2090072";"florasulame";"145701-23-1";"0.2";"Env A";"";"Non"
2022;"21170";"2090080";"sulcotrione";"99105-77-8";"3";"CMR";"";"Non"
2022;"21170";"2090096";"pethoxamide";"106700-29-2";"84";"Env A";"";"Non"
2022;"21170";"2090111";"cypermethrine";"52315-07-8";"1.44";"Env A";"";"Non"
2022;"21170";"2090112";"dimethenamide-p (dmta-p)";"163515-14-8";"14";"Env A";"";"Non"
2022;"21170";"2090112";"metazachlore";"67129-08-2";"14";"CMR";"";"Non"
2022;"21170";"2090113";"dimethenamide-p (dmta-p)";"163515-14-8";"248.625";"Env A";"";"Non"
2022;"21170";"2090113";"pendimethaline";"40487-42-1";"292.5";"Env A";"Substitution";"Non"
2022;"21170";"2090117";"tebuconazole";"107534-96-3";"106";"CMR";"";"Non"
2022;"21170";"2090118";"flufenacet";"142459-58-3";"64.8";"Env A";"";"Non"
2022;"21170";"2090118";"pendimethaline";"40487-42-1";"324";"Env A";"Substitution";"Non"
2022;"21170";"2090119";"cuivre du sulfate tribasique";"12527-76-3";"6.65";"Env A";"Substitution";"Non"
2022;"21170";"2090136";"fluopicolide";"239110-15-7";"2.5";"Env A";"";"Non"
2022;"21170";"2090136";"propamocarbe hcl";"25606-41-1";"25";"Autre";"";"Non"
2022;"21170";"2090146";"abamectine";"71751-41-2";"0.000014";"CMR";"";"Non"
2022;"21170";"2090146";"pyrethrines";"8003-34-7";"0.00019";"Env A";"";"Non"
2022;"21170";"2090153";"dicamba";"1918-00-9";"25.2";"Env B";"";"Non"
2022;"21170";"2090153";"tritosulfuron";"142469-14-5";"5.25";"Env A";"";"Non"
2022;"21170";"2090188";"glyphosate";"1071-83-6";"21.6";"Env A";"";"Non"
2022;"21170";"2090199";"huile de colza";"8002-13-9";"0.206325";"Autre";"";"Non"
2022;"21170";"2090199";"pyrethrines";"8003-34-7";"0.001148";"Env A";"";"Non"
2022;"21170";"2100009";"thifensulfuron-methyle";"79277-27-3";"0.05994";"Env A";"";"Non"
2022;"21170";"2100009";"tribenuron-methyle";"101200-48-0";"0.03006";"Env A";"";"Non"
2022;"21170";"2100015";"thifensulfuron-methyle";"79277-27-3";"0.315";"Env A";"";"Non"
2022;"21170";"2100016";"metsulfuron-methyl";"74223-64-6";"0.31";"Env A";"Substitution";"Non"
2022;"21170";"2100016";"thifensulfuron-methyle";"79277-27-3";"3.1";"Env A";"";"Non"
2022;"21170";"2100018";"tebuconazole";"107534-96-3";"5";"CMR";"";"Non"
2022;"21170";"2100026";"cypermethrine";"52315-07-8";"7.5";"Env A";"";"Non"
2022;"21170";"2100028";"fluroxypyr";"69377-81-7";"11";"Env B";"";"Non"
2022;"21170";"2100030";"phosphate ferrique";"10045-86-0";"6.534";"Autre";"";"Non"
2022;"21170";"2100037";"boscalid";"188425-85-6";"1.5";"Env A";"";"Non"
2022;"21170";"2100037";"dimoxystrobine";"149961-52-4";"1.5";"CMR";"";"Non"
2022;"21170";"2100052";"cyprodinyl";"121552-61-2";"385.503";"Env A";"";"Non"
2022;"21170";"2100053";"fluroxypyr";"69377-81-7";"1";"Env B";"";"Non"
2022;"21170";"2100056";"prothioconazole";"178928-70-6";"38.4";"Env A";"";"Non"
2022;"21170";"2100056";"spiroxamine";"118134-30-8";"72.0";"CMR";"";"Non"
2022;"21170";"2100057";"prothioconazole";"178928-70-6";"9.625";"Env A";"";"Non"
2022;"21170";"2100057";"trifloxystrobine";"141517-21-7";"4.84";"Env A";"";"Non"
2022;"21170";"2100108";"prothioconazole";"178928-70-6";"15.00";"Env A";"";"Non"
2022;"21170";"2100108";"tebuconazole";"107534-96-3";"15.00";"CMR";"";"Non"
2022;"21170";"2100111";"mesotrione";"104206-82-8";"8.250";"CMR";"";"Non"
2022;"21170";"2100111";"nicosulfuron";"111991-09-4";"3.30";"Env A";"";"Non"
2022;"21170";"2100112";"ethephon";"16672-87-0";"14.4";"Santé A";"";"Non"
2022;"21170";"2100121";"chlorantraniliprole";"500008-45-7";"0.2";"Env A";"";"Non"
2022;"21170";"2100138";"cloquintocet-mexyl";"99607-70-2";"15.4375";"Autre";"";"Non"
2022;"21170";"2100138";"pinoxaden";"243973-20-8";"61.75";"CMR";"";"Non"
2022;"21170";"2100140";"clodinafop-propargyl";"105512-06-9";"2.125";"Env A";"";"Non"
2022;"21170";"2100140";"cloquintocet-mexyl";"99607-70-2";"0.53125";"Autre";"";"Non"
2022;"21170";"2100140";"pinoxaden";"243973-20-8";"2.125";"CMR";"";"Non"
2022;"21170";"2100151";"pyraclostrobine";"175013-18-0";"17.826";"Santé A";"";"Non"
2022;"21170";"2100186";"glyphosate";"1071-83-6";"14.4";"Env A";"";"Non"
2022;"21170";"2100191";"diflufenicanil";"83164-33-4";"6";"Env B";"";"Non"
2022;"21170";"2100191";"flufenacet";"142459-58-3";"12";"Env A";"";"Non"
2022;"21170";"2100214";"clomazone";"81777-89-1";"1.8";"Env A";"";"Non"
2022;"21170";"2100215";"pendimethaline";"40487-42-1";"96";"Env A";"Substitution";"Non"
2022;"21170";"2100234";"diflufenicanil";"83164-33-4";"0.6";"Env B";"";"Non"
2022;"21170";"2100234";"iodosulfuron-methyl-sodium";"144550-36-7";"0.0375";"Env A";"";"Non"
2022;"21170";"2100234";"mefenpyr-diethyl";"135590-91-9";"0.135";"Autre";"";"Non"
2022;"21170";"2100234";"mesosulfuron-methyl";"208465-21-8";"0.045";"Env A";"";"Non"
2022;"21170";"2100244";"napropamide";"15299-99-7";"47.25";"Env A";"";"Non"
2022;"21170";"2110004";"propyzamide";"23950-58-5";"4";"CMR";"Substitution";"Non"
2022;"21170";"2110012";"cyazofamide";"120116-88-3";"2.72";"Env A";"";"Non"
2022;"21170";"2110063";"clopyralid";"1702-17-6";"2.16";"Autre";"";"Non"
2022;"21170";"2110072";"thifensulfuron-methyle";"79277-27-3";"8.45";"Env A";"";"Non"
2022;"21170";"2110072";"tribenuron-methyle";"101200-48-0";"4.225";"Env A";"";"Non"
2022;"21170";"2110077";"cloquintocet-mexyl";"99607-70-2";"0.5175";"Autre";"";"Non"
2022;"21170";"2110077";"fenoxaprop-p-ethyl";"71283-80-2";"1.035";"Env A";"";"Non"
2022;"21170";"2110086";"spirotetramat";"203313-25-1";"0.2";"CMR";"";"Non"
2022;"21170";"2110095";"cloquintocet-mexyl";"99607-70-2";"1.74375";"Autre";"";"Non"
2022;"21170";"2110095";"florasulame";"145701-23-1";"0.775";"Env A";"";"Non"
2022;"21170";"2110095";"pinoxaden";"243973-20-8";"6.975";"CMR";"";"Non"
2022;"21170";"2110101";"pyraflufen-ethyl";"129630-19-9";"0.1325";"Env A";"";"Non"
2022;"21170";"2110102";"difenoconazole";"119446-68-3";"6.98925";"Env A";"";"Non"
2022;"21170";"2110102";"fludioxonil";"131341-86-1";"6.98925";"Env A";"";"Non"
2022;"21170";"2110102";"sedaxane";"874967-67-6";"13.9785";"CMR";"";"Non"
2022;"21170";"2110141";"dimethomorphe";"110488-70-5";"18.36";"Env A";"Exclusion";"Non"
2022;"21170";"2110141";"pyraclostrobine";"175013-18-0";"10.2";"Santé A";"";"Non"
2022;"21170";"2110143";"metribuzine";"21087-64-9";"3.6";"Env A";"";"Non"
2022;"21170";"2110148";"bixafen";"581809-46-3";"7.37625";"Env A";"";"Non"
2022;"21170";"2110149";"huile de colza";"8002-13-9";"0.01352";"Autre";"";"Non"
2022;"21170";"2110150";"huile de colza";"8002-13-9";"0.3108";"Autre";"";"Non"
2022;"21170";"2110151";"clodinafop-propargyl";"105512-06-9";"9.9";"Env A";"";"Non"
2022;"21170";"2110151";"cloquintocet-mexyl";"99607-70-2";"2.475";"Autre";"";"Non"
2022;"21170";"2110151";"prosulfocarbe";"52888-80-9";"792";"Env A";"";"Non"
2022;"21170";"2110152";"cypermethrine";"52315-07-8";"1.36";"Env A";"";"Non"
2022;"21170";"2110162";"azoxystrobine";"131860-33-8";"5.0";"Santé A";"";"Non"
2022;"21170";"2110167";"tebuconazole";"107534-96-3";"90.30";"CMR";"";"Non"
2022;"21170";"2110178";"bixafen";"581809-46-3";"0.750";"Env A";"";"Non"
2022;"21170";"2110178";"prothioconazole";"178928-70-6";"1.50";"Env A";"";"Non"
2022;"21170";"2110191";"difenoconazole";"119446-68-3";"10.5";"Env A";"";"Non"
2022;"21170";"2110191";"tebuconazole";"107534-96-3";"26.25";"CMR";"";"Non"
2022;"21170";"2120041";"zirame";"137-30-4";"46.5822";"Santé A";"";"Non"
2022;"21170";"2120048";"aminopyralid";"150114-71-9";"1.23";"Env A";"";"Non"
2022;"21170";"2120048";"triclopyr";"55335-06-3";"9.84";"Env B";"";"Non"
2022;"21170";"2120070";"prothioconazole";"178928-70-6";"3.2";"Env A";"";"Non"
2022;"21170";"2120070";"tebuconazole";"107534-96-3";"1.6";"CMR";"";"Non"
2022;"21170";"2120120";"bentazone";"25057-89-0";"62.4";"Env B";"";"Non"
2022;"21170";"2120120";"imazamox";"114311-32-9";"2.912";"Env A";"Substitution";"Non"
2022;"21170";"2120143";"glyphosate";"1071-83-6";"153.6";"Env A";"";"Non"
2022;"21170";"2120153";"propyzamide";"23950-58-5";"388";"CMR";"Substitution";"Non"
2022;"21170";"2120160";"bentazone";"25057-89-0";"21.6";"Env B";"";"Non"
2022;"21170";"2120164";"bentazone";"25057-89-0";"31.32";"Env B";"";"Non"
2022;"21170";"2120199";"hydrazide maleique";"123-33-1";"20.25";"Autre";"";"Non"
2022;"21170";"2130059";"lambda-cyhalothrine";"91465-08-6";"11.0";"Santé A";"Substitution";"Non"
2022;"21170";"2130061";"metconazole";"125116-23-6";"12.6";"CMR";"";"Non"
2022;"21170";"2130063";"nicosulfuron";"111991-09-4";"7.4";"Env A";"";"Non"
2022;"21170";"2130068";"diflufenicanil";"83164-33-4";"14.0";"Env B";"";"Non"
2022;"21170";"2130069";"diflufenicanil";"83164-33-4";"18.5";"Env B";"";"Non"
2022;"21170";"2130083";"lambda-cyhalothrine";"91465-08-6";"20.2";"Santé A";"Substitution";"Non"
2022;"21170";"2130086";"metaldehyde";"108-62-3";"10.500";"CMR";"";"Non"
2022;"21170";"2130140";"diflufenicanil";"83164-33-4";"28.8";"Env B";"";"Non"
2022;"21170";"2130140";"pendimethaline";"40487-42-1";"288";"Env A";"Substitution";"Non"
2022;"21170";"2130152";"fluopyram";"658066-35-4";"1.5";"Env A";"";"Non"
2022;"21170";"2130152";"trifloxystrobine";"141517-21-7";"1.5";"Env A";"";"Non"
2022;"21170";"2130164";"cyprosulfamide";"221667-31-8";"0.3";"Autre";"";"Non"
2022;"21170";"2130164";"foramsulfuron";"173159-57-4";"0.6";"CMR";"";"Non"
2022;"21170";"2130164";"thiencarbazone-methyl";"317815-83-1";"0.2";"Env A";"";"Non"
2022;"21170";"2130194";"clomazone";"81777-89-1";"3.6";"Env A";"";"Non"
2022;"21170";"2130202";"fluopyram";"658066-35-4";"15.000";"Env A";"";"Non"
2022;"21170";"2130202";"prothioconazole";"178928-70-6";"15.000";"Env A";"";"Non"
2022;"21170";"2130242";"chlorotoluron";"15545-48-9";"30";"CMR";"";"Non"
2022;"21170";"2130242";"diflufenicanil";"83164-33-4";"2";"Env B";"";"Non"
2022;"21170";"2130244";"difenoconazole";"119446-68-3";"2.5";"Env A";"";"Non"
2022;"21170";"2130244";"mandipropamide";"374726-62-2";"2.5";"Env A";"";"Non"
2022;"21170";"2130249";"pendimethaline";"40487-42-1";"262";"Env A";"Substitution";"Non"
2022;"21170";"2130251";"lambda-cyhalothrine";"91465-08-6";"0.5";"Santé A";"Substitution";"Non"
2022;"21170";"2130266";"bromuconazole";"116255-48-2";"187.040";"CMR";"";"Non"
2022;"21170";"2130266";"tebuconazole";"107534-96-3";"119.840";"CMR";"";"Non"
2022;"21170";"2140002";"florasulame";"145701-23-1";"0.15";"Env A";"";"Non"
2022;"21170";"2140018";"trinexapac-ethyl";"95266-40-3";"12.50";"Env A";"";"Non"
2022;"21170";"2140022";"oligomeres terpeniques";"70750-57-1";"18.2";"Autre";"";"Non"
2022;"21170";"2140038";"fluopyram";"658066-35-4";"0.6018";"Env A";"";"Non"
2022;"21170";"2140038";"prothioconazole";"178928-70-6";"3.009";"Env A";"";"Non"
2022;"21170";"2140038";"tebuconazole";"107534-96-3";"1.8054";"CMR";"";"Non"
2022;"21170";"2140040";"phosmet";"732-11-6";"420.0";"CMR";"";"Non"
2022;"21170";"2140042";"clomazone";"81777-89-1";"1.44";"Env A";"";"Non"
2022;"21170";"2140051";"fluxapyroxad";"907204-31-3";"14.02263";"Santé A";"";"Non"
2022;"21170";"2140052";"clopyralid";"1702-17-6";"4.2";"Autre";"";"Non"
2022;"21170";"2140098";"aminopyralid";"150114-71-9";"0.65875";"Env A";"";"Non"
2022;"21170";"2140098";"propyzamide";"23950-58-5";"62.5";"CMR";"Substitution";"Non"
2022;"21170";"2140115";"fluopyram";"658066-35-4";"0.625";"Env A";"";"Non"
2022;"21170";"2140115";"prothioconazole";"178928-70-6";"0.625";"Env A";"";"Non"
2022;"21170";"2140121";"acide pelargonique";"112-05-0";"4.754176";"Autre";"";"Non"
2022;"21170";"2140168";"cuivre du sulfate tribasique";"12527-76-3";"0.1539";"Env A";"Substitution";"Non"
2022;"21170";"2140173";"fluxapyroxad";"907204-31-3";"30.6250";"Santé A";"";"Non"
2022;"21170";"2140173";"metconazole";"125116-23-6";"22.050";"CMR";"";"Non"
2022;"21170";"2140175";"metconazole";"125116-23-6";"35.55";"CMR";"";"Non"
2022;"21170";"2140179";"amisulbrom";"348635-87-0";"0.8";"CMR";"";"Non"
2022;"21170";"2140199";"amidosulfuron";"120923-37-7";"1.65";"Env A";"";"Non"
2022;"21170";"2140199";"iodosulfuron-methyl-sodium";"144550-36-7";"0.33";"Env A";"";"Non"
2022;"21170";"2140199";"mefenpyr-diethyl";"135590-91-9";"2.97";"Autre";"";"Non"
